playlist_id	title	url	num_tracks	description	user	user_url	like	repost	last_modified	tracks_id	tracks_url
1088738677	top50	https://soundcloud.com/haneen-noon/sets/top50	39.0		Haneen Noon	https://soundcloud.com/haneen-noon	2	4	2020-07-09T10:43:01.000Z	['588269907', '793945492', '799867804', '306005110', '315468136']	['https://soundcloud.com/chilligenetwork/shake-the-tree', 'https://soundcloud.com/mezzanottenetwork/interlude', 'https://soundcloud.com/mezzanottenetwork/river', 'https://soundcloud.com/metanoiam/yummy', 'https://soundcloud.com/metanoiam/fauda']
293221837	Top 50	https://soundcloud.com/mick-ball-517426696/sets/top-50	480.0		Mick Ball	https://soundcloud.com/mick-ball-517426696	239	29	2017-01-20T03:29:54.000Z	['280186218', '298167372', '295926514', '290337922', '273828810']	['https://soundcloud.com/migosatl/bad-and-boujee-feat-lil-uzi-vert-prod-by-metro-boomin', 'https://soundcloud.com/trapgod1017bricksquad/gucci-mane-both-ft-drake-1', 'https://soundcloud.com/superduperkylemusic/kyle-ispy-feat-lil-yachty', 'https://soundcloud.com/bigsean-1/bounce-back', 'https://soundcloud.com/21savage/x-feat-future']
603083247	Top 50	https://soundcloud.com/user-414980998/sets/top-50	395.0		User 414980998	https://soundcloud.com/user-414980998	1	0:00	2018-09-15T14:26:49.000Z	['186983384', '189364275', '225537832', '466865100']	['https://soundcloud.com/spinnin-deep/sam-feldt-show-me-love-available-february-16', 'https://soundcloud.com/jahseh-onfroy/skin', 'https://soundcloud.com/sleepingatlast/already-gone', 'https://soundcloud.com/flybymidnight/girls-like-you-young-blood-back-to-you-maroon-5-5-seconds-of-summer-selena-gomez-fbm-cover']
335260641	Top 50	https://soundcloud.com/user-489237071/sets/top-50	457.0		that tall mexican	https://soundcloud.com/user-489237071	45	2	2017-07-04T05:40:01.000Z	['330243250', '309689093', '318511652', '290414336', '312797091']	['https://soundcloud.com/lilpump/lil-pump-molly-prod-bighead-ronny-j-1', 'https://soundcloud.com/liluzivert/15-xo-tour-llif3', 'https://soundcloud.com/lilpump/lil-pump-boss-prod-diablo', 'https://soundcloud.com/postmalone/congratulations', 'https://soundcloud.com/tee-grizzley/from-the-d-to-the-a-feat-lil-yachty']
864880536	Top 50	https://soundcloud.com/gaming-master-crew/sets/top-50	436.0		Gaming Master Crew	https://soundcloud.com/gaming-master-crew	52	0:00	2019-09-09T01:23:53.000Z	['279440940', '310637766', '350367259', '655842386', '428925555']	['https://soundcloud.com/kj_7674-867/dave-x-aj-tracey-thiago-silva', 'https://soundcloud.com/ynwmelly/melly-murder-on-my-mind', 'https://soundcloud.com/saif-841061878/dave-no-words-ft-mo-stack', 'https://soundcloud.com/officialaitch/taste-make-it-shake', 'https://soundcloud.com/ramonerochester/family-tree']
312682034	top 50	https://soundcloud.com/user-305113668/sets/top-50	424.0		jay uzii	https://soundcloud.com/user-305113668	11	3	2017-04-03T19:54:28.000Z	['312797091', '261587226', '250781099', '252231083', '273828810']	['https://soundcloud.com/tee-grizzley/from-the-d-to-the-a-feat-lil-yachty', 'https://soundcloud.com/thegreatkhalid/location-prod-by-syk-sense-tunji-ige-smash-david', 'https://soundcloud.com/a-boogie-wit-da-hoodie/jungle', 'https://soundcloud.com/imrealugly/water', 'https://soundcloud.com/21savage/x-feat-future']
325357309	Top 50	https://soundcloud.com/user445307510/sets/top-50	43.0		user445307510	https://soundcloud.com/user445307510	34	1	2017-05-23T18:12:55.000Z	['322834362', '322834576', '322833885', '309689093', '323256625']	['https://soundcloud.com/travisscott-2/butterfly-effect', 'https://soundcloud.com/travisscott-2/green-purple', 'https://soundcloud.com/travisscott-2/a-man', 'https://soundcloud.com/liluzivert/15-xo-tour-llif3', 'https://soundcloud.com/jahseh-onfroy/garettes-revenge-produced']
116973788	top 50	https://soundcloud.com/tbaby504/sets/top-50	394.0		T Baby	https://soundcloud.com/tbaby504	9	1	2015-06-15T20:02:56.000Z	['185913096', '185099555', '185913064', '185913076', '195555848']	['https://soundcloud.com/futureisnow/codeine-crazy', 'https://soundcloud.com/harlem_fetty/fetty-wap-rgf-island-snippet-2015', 'https://soundcloud.com/futureisnow/wesley-presley', 'https://soundcloud.com/futureisnow/my-savages', 'https://soundcloud.com/issaiam/makaveli-issa-x-t-black-the']
373952105	Top 50	https://soundcloud.com/whitepandamashupcountdown/sets/top-50	48.0		White Panda Mashup Countdown	https://soundcloud.com/whitepandamashupcountdown	1641	215	2017-11-13T17:35:02.000Z	['376997870', '376597706', '376209239', '375767474', '375341501']	['https://soundcloud.com/whitepandamashupcountdown/mid-up-half', 'https://soundcloud.com/whitepandamashupcountdown/stereo-hands', 'https://soundcloud.com/whitepandamashupcountdown/cashin-dreams', 'https://soundcloud.com/whitepandamashupcountdown/deep-in-the-levels', 'https://soundcloud.com/whitepandamashupcountdown/mo-free-mo-fallin']
825858068	top 50	https://soundcloud.com/mohammad-akhlaq-937822390/sets/top-50	364.0		mo.akhlaq	https://soundcloud.com/mohammad-akhlaq-937822390	0:00	0:30	2019-07-15T03:01:12.000Z	['624758298', '579845943', '639078390', '568198284', '568327059']	['https://soundcloud.com/liltecca/lil-tecca-ransom-1', 'https://soundcloud.com/dabilliondollarbaby/suge', 'https://soundcloud.com/secret-service-862007284/panini', 'https://soundcloud.com/polo-g/polo-g-feat-lil-tjay-pop-out', 'https://soundcloud.com/yk-osiris/worth-it']
